Time (s),Voltage_V1 (V),Current_I1 (A),BMS_Signal
0.0,4.0,5.4,1
1.0,3.999999926953981,5.4,1
2.0,3.999999707815924,5.4,1
3.0,3.999999342585829,5.4,1
4.0,3.9999988312636963,5.4,1
5.0,3.999998173849525,5.4,1
6.0,3.9999973703433165,5.4,1
7.0,3.9999964207450693,5.4,1
8.0,3.9999953250547846,5.4,1
9.0,3.999994083272462,5.4,1
10.0,3.9999926953981007,5.4,1
11.0,3.999991161431702,5.4,1
12.0,3.999989481373265,5.4,1
13.0,3.99998765522279,5.4,1
14.0,3.999985682980278,5.4,1
15.0,3.999983564645727,5.4,1
16.0,3.999981300219138,5.4,1
17.0,3.9999788897005115,5.4,1
18.0,3.9999763330898466,5.4,1
19.0,3.999973630387144,5.4,1
20.0,3.999970781592403,5.4,1
21.0,3.9999677867056245,5.4,1
22.0,3.999964645726808,5.4,1
23.0,3.9999613586559533,5.4,1
24.0,3.9999579254930606,5.4,1
25.0,3.99995434623813,5.4,1
26.0,3.9999506208911613,5.4,1
27.0,3.999946749452155,5.4,1
28.0,3.9999427319211103,5.4,1
29.0,3.999938568298028,5.4,1
30.0,3.999934258582907,5.4,1
31.0,3.999929802775749,5.4,1
32.0,3.999925200876552,5.4,1
33.0,3.9999204528853176,5.4,1
34.0,3.999915558802045,5.4,1
35.0,3.9999105186267347,5.4,1
36.0,3.9999053323593863,5.4,1
37.0,3.9999,5.4,1
38.0,3.9998945215485757,5.4,1
39.0,3.999888897005113,5.4,1
40.0,3.999883126369613,5.4,1
41.0,3.9998772096420745,5.4,1
42.0,3.9998711468224983,5.4,1
43.0,3.9998649379108837,5.4,1
44.0,3.9998585829072315,5.4,1
45.0,3.9998520818115413,5.4,1
46.0,3.999845434623813,5.4,1
47.0,3.9998386413440468,5.4,1
48.0,3.9998317019722425,5.4,1
49.0,3.9998246165084,5.4,1
50.0,3.9998173849525203,5.4,1
51.0,3.999810007304602,5.4,1
52.0,3.9998024835646455,5.4,1
53.0,3.9997948137326516,5.4,1
54.0,3.9997869978086196,5.4,1
55.0,3.999779035792549,5.4,1
56.0,3.999770927684441,5.4,1
57.0,3.999762673484295,5.4,1
58.0,3.999754273192111,5.4,1
59.0,3.999745726807889,5.4,1
60.0,3.9997370343316287,5.4,1
61.0,3.999728195763331,5.4,1
62.0,3.999719211102995,5.4,1
63.0,3.9997100803506207,5.4,1
64.0,3.999700803506209,5.4,1
65.0,3.999691380569759,5.4,1
66.0,3.999681811541271,5.4,1
67.0,3.999672096420745,5.4,1
68.0,3.999662235208181,5.4,1
69.0,3.9996522279035793,5.4,1
70.0,3.9996420745069394,5.4,1
71.0,3.9996317750182615,5.4,1
72.0,3.9996213294375456,5.4,1
73.0,3.999610737764792,5.4,1
74.0,3.9996,5.4,1
75.0,3.99958911614317,5.4,1
76.0,3.9995780861943024,5.4,1
77.0,3.999566910153397,5.4,1
78.0,3.9995555880204527,5.4,1
79.0,3.999544119795471,5.4,1
80.0,3.9995325054784514,5.4,1
81.0,3.9995207450693937,5.4,1
82.0,3.999508838568298,5.4,1
83.0,3.9994967859751642,5.4,1
84.0,3.999484587289993,5.4,1
85.0,3.999472242512783,5.4,1
86.0,3.9994597516435353,5.4,1
87.0,3.99944711468225,5.4,1
88.0,3.999434331628926,5.4,1
89.0,3.9994214024835646,5.4,1
90.0,3.999408327246165,5.4,1
91.0,3.9993951059167276,5.4,1
92.0,3.999381738495252,5.4,1
93.0,3.9993682249817386,5.4,1
94.0,3.999354565376187,5.4,1
95.0,3.9993407596785975,5.4,1
96.0,3.99932680788897,5.4,1
97.0,3.9993127100073047,5.4,1
98.0,3.999298466033601,5.4,1
99.0,3.99928407596786,5.4,1
100.0,3.99926953981008,5.4,1
101.0,3.999254857560263,5.4,1
102.0,3.9992400292184076,5.4,1
103.0,3.9992250547845143,5.4,1
104.0,3.999209934258583,5.4,1
105.0,3.9991946676406136,5.4,1
106.0,3.999179254930606,5.4,1
107.0,3.999163696128561,5.4,1
108.0,3.999147991234478,5.4,1
109.0,3.9991321402483564,5.4,1
110.0,3.9991161431701974,5.4,1
111.0,3.9991,5.4,1
112.0,3.999083710737765,5.4,1
113.0,3.9990672753834917,5.4,1
114.0,3.9990506939371806,5.4,1
115.0,3.9990339663988315,5.4,1
116.0,3.9990170927684443,5.4,1
117.0,3.999000073046019,5.4,1
118.0,3.998982907231556,5.4,1
119.0,3.9989655953250547,5.4,1
120.0,3.998948137326516,5.4,1
121.0,3.9989305332359386,5.4,1
122.0,3.9989127830533238,5.4,1
123.0,3.9988948867786704,5.4,1
124.0,3.9988768444119795,5.4,1
125.0,3.9988586559532506,5.4,1
126.0,3.9988403214024837,5.4,1
127.0,3.9988218407596787,5.4,1
128.0,3.9988032140248357,5.4,1
129.0,3.9987844411979547,5.4,1
130.0,3.9987655222790357,5.4,1
131.0,3.998746457268079,5.4,1
132.0,3.998727246165084,5.4,1
133.0,3.998707888970051,5.4,1
134.0,3.9986883856829802,5.4,1
135.0,3.9986687363038715,5.4,1
136.0,3.998648940832725,5.4,1
137.0,3.9986289992695396,5.4,1
138.0,3.998608911614317,5.4,1
139.0,3.998588677867056,5.4,1
140.0,3.9985682980277577,5.4,1
141.0,3.998547772096421,5.4,1
142.0,3.998527100073046,5.4,1
143.0,3.998506281957633,5.4,1
144.0,3.9984853177501827,5.4,1
145.0,3.9984642074506938,5.4,1
146.0,3.9984429510591672,5.4,1
147.0,3.9984215485756027,5.4,1
148.0,3.9984,5.4,1
149.0,3.9983783053323596,5.4,1
150.0,3.9983564645726806,5.4,1
151.0,3.9983344777209644,5.4,1
152.0,3.9983123447772098,5.4,1
153.0,3.998290065741417,5.4,1
154.0,3.9982676406135864,5.4,1
155.0,3.998245069393718,5.4,1
156.0,3.9982223520818114,5.4,1
157.0,3.998199488677867,5.4,1
158.0,3.998176479181885,5.4,1
159.0,3.998153323593864,5.4,1
160.0,3.9981300219138056,5.4,1
161.0,3.9981065741417092,5.4,1
162.0,3.998082980277575,5.4,1
163.0,3.9980592403214024,5.4,1
164.0,3.998035354273192,5.4,1
165.0,3.998011322132944,5.4,1
166.0,3.9979871439006573,5.4,1
167.0,3.9979628195763333,5.4,1
168.0,3.9979383491599707,5.4,1
169.0,3.9979137326515706,5.4,1
170.0,3.9978889700511324,5.4,1
171.0,3.997864061358656,5.4,1
172.0,3.9978390065741416,5.4,1
173.0,3.9978138056975894,5.4,1
174.0,3.997788458728999,5.4,1
175.0,3.997762965668371,5.4,1
176.0,3.997737326515705,5.4,1
177.0,3.9977115412710007,5.4,1
178.0,3.9976856099342584,5.4,1
179.0,3.9976595325054785,5.4,1
180.0,3.9976333089846605,5.4,1
181.0,3.997606939371804,5.4,1
182.0,3.99758042366691,5.4,1
183.0,3.997553761869978,5.4,1
184.0,3.997526953981008,5.4,1
185.0,3.9975,5.4,1
186.0,3.997472899926954,5.4,1
187.0,3.99744565376187,5.4,1
188.0,3.9974182615047478,5.4,1
189.0,3.997390723155588,5.4,1
190.0,3.99736303871439,5.4,1
191.0,3.997335208181154,5.4,1
192.0,3.9973072315558804,5.4,1
193.0,3.997279108838568,5.4,1
194.0,3.9972508400292184,5.4,1
195.0,3.9972224251278305,5.4,1
196.0,3.9971938641344047,5.4,1
197.0,3.997165157048941,5.4,1
198.0,3.997136303871439,5.4,1
199.0,3.997107304601899,5.4,1
200.0,3.9970781592403215,5.4,1
201.0,3.9970488677867055,5.4,1
202.0,3.997019430241052,5.4,1
203.0,3.99698984660336,5.4,1
204.0,3.9969601168736304,5.4,1
205.0,3.996930241051863,5.4,1
206.0,3.996900219138057,5.4,1
207.0,3.9968700511322135,5.4,1
208.0,3.996839737034332,5.4,1
209.0,3.996809276844412,5.4,1
210.0,3.9967786705624544,5.4,1
211.0,3.9967479181884586,5.4,1
212.0,3.9967170197224253,5.4,1
213.0,3.9966859751643535,5.4,1
214.0,3.996654784514244,5.4,1
215.0,3.9966234477720963,5.4,1
216.0,3.996591964937911,5.4,1
217.0,3.9965603360116875,5.4,1
218.0,3.996528560993426,5.4,1
219.0,3.9964966398831265,5.4,1
220.0,3.996464572680789,5.4,1
221.0,3.9964323593864135,5.4,1
222.0,3.9964,5.4,1
223.0,3.9963674945215484,5.4,1
224.0,3.9963348429510592,5.4,1
225.0,3.9963020452885316,5.4,1
226.0,3.9962691015339664,5.4,1
227.0,3.996236011687363,5.4,1
228.0,3.9962027757487215,5.4,1
229.0,3.9961693937180423,5.4,1
230.0,3.996135865595325,5.4,1
231.0,3.9961021913805697,5.4,1
232.0,3.9960683710737763,5.4,1
233.0,3.9960344046749454,5.4,1
234.0,3.996000292184076,5.4,1
235.0,3.9959660336011686,5.4,1
236.0,3.9959316289262237,5.4,1
237.0,3.9958970781592402,5.4,1
238.0,3.995862381300219,5.4,1
239.0,3.99582753834916,5.4,1
240.0,3.9957925493060626,5.4,1
241.0,3.9957574141709276,5.4,1
242.0,3.9957221329437544,5.4,1
243.0,3.9956867056245433,5.4,1
244.0,3.995651132213294,5.4,1
245.0,3.9956154127100074,5.4,1
246.0,3.995579547114682,5.4,1
247.0,3.995543535427319,5.4,1
248.0,3.995507377647918,5.4,1
249.0,3.9954710737764794,5.4,1
250.0,3.995434623813002,5.4,1
251.0,3.995398027757487,5.4,1
252.0,3.9953612856099343,5.4,1
253.0,3.9953243973703434,5.4,1
254.0,3.9952873630387145,5.4,1
255.0,3.9952501826150475,5.4,1
256.0,3.9952128560993425,5.4,1
257.0,3.9951753834915995,5.4,1
258.0,3.995137764791819,5.4,1
259.0,3.9951,5.4,1
260.0,3.9950620891161432,5.4,1
261.0,3.995024032140248,5.4,1
262.0,3.9949858290723155,5.4,1
263.0,3.994947479912345,5.4,1
264.0,3.994908984660336,5.4,1
265.0,3.9948703433162893,5.4,1
266.0,3.9948315558802046,5.4,1
267.0,3.9947926223520818,5.4,1
268.0,3.994753542731921,5.4,1
269.0,3.9947143170197226,5.4,1
270.0,3.9946749452154857,5.4,1
271.0,3.9946354273192113,5.4,1
272.0,3.9945957633308984,5.4,1
273.0,3.994555953250548,5.4,1
274.0,3.9945159970781594,5.4,1
275.0,3.9944758948137324,5.4,1
276.0,3.994435646457268,5.4,1
277.0,3.9943952520087653,5.4,1
278.0,3.994354711468225,5.4,1
279.0,3.9943140248356466,5.4,1
280.0,3.99427319211103,5.4,1
281.0,3.9942322132943753,5.4,1
282.0,3.994191088385683,5.4,1
283.0,3.9941498173849523,5.4,1
284.0,3.994108400292184,5.4,1
285.0,3.9940668371073778,5.4,1
286.0,3.9940251278305334,5.4,1
287.0,3.9939832724616506,5.4,1
288.0,3.9939412710007303,5.4,1
289.0,3.9938991234477723,5.4,1
290.0,3.993856829802776,5.4,1
291.0,3.9938143900657415,5.4,1
292.0,3.993771804236669,5.4,1
293.0,3.993729072315559,5.4,1
294.0,3.9936861943024105,5.4,1
295.0,3.9936431701972244,5.4,1
296.0,3.9936,5.4,1
297.0,3.9935566837107377,5.4,1
298.0,3.9935132213294375,5.4,1
299.0,3.9934696128560994,5.4,1
300.0,3.993425858290723,5.4,1
301.0,3.993381957633309,5.4,1
302.0,3.9933379108838567,5.4,1
303.0,3.993293718042367,5.4,1
304.0,3.9932493791088386,5.4,1
305.0,3.9932048940832723,5.4,1
306.0,3.9931602629656684,5.4,1
307.0,3.9931154857560265,5.4,1
308.0,3.993070562454346,5.4,1
309.0,3.993025493060628,5.4,1
310.0,3.992980277574872,5.4,1
311.0,3.992934915997078,5.4,1
312.0,3.992889408327246,5.4,1
313.0,3.992843754565376,5.4,1
314.0,3.992797954711468,5.4,1
315.0,3.9927520087655224,5.4,1
316.0,3.9927059167275383,5.4,1
317.0,3.9926596785975166,5.4,1
318.0,3.9926132943754564,5.4,1
319.0,3.9925667640613587,5.4,1
320.0,3.992520087655223,5.4,1
321.0,3.992473265157049,5.4,1
322.0,3.992426296566837,5.4,1
323.0,3.992379181884587,5.4,1
324.0,3.9923319211102997,5.4,1
325.0,3.992284514243974,5.4,1
326.0,3.99223696128561,5.4,1
327.0,3.992189262235208,5.4,1
328.0,3.9921414170927685,5.4,1
329.0,3.9920934258582905,5.4,1
330.0,3.992045288531775,5.4,1
331.0,3.9919970051132214,5.4,1
332.0,3.99194857560263,5.4,1
333.0,3.9919,5.4,1
334.0,3.991851278305332,5.4,1
335.0,3.991802410518627,5.4,1
336.0,3.9917533966398833,5.4,1
337.0,3.9917042366691016,5.4,1
338.0,3.991654930606282,5.4,1
339.0,3.9916054784514245,5.4,1
340.0,3.991555880204529,5.4,1
341.0,3.9915061358655954,5.4,1
342.0,3.9914562454346236,5.4,1
343.0,3.9914062089116142,5.4,1
344.0,3.991356026296567,5.4,1
345.0,3.9913056975894814,5.4,1
346.0,3.991255222790358,5.4,1
347.0,3.9912046018991965,5.4,1
348.0,3.991153834915997,5.4,1
349.0,3.99110292184076,5.4,1
350.0,3.9910518626734843,5.4,1
351.0,3.9910006574141708,5.4,1
352.0,3.9909493060628196,5.4,1
353.0,3.9908978086194304,5.4,1
354.0,3.990846165084003,5.4,1
355.0,3.9907943754565376,5.4,1
356.0,3.9907424397370344,5.4,1
357.0,3.990690357925493,5.4,1
358.0,3.990638130021914,5.4,1
359.0,3.9905857560262965,5.4,1
360.0,3.990533235938641,5.4,1
361.0,3.9904805697589483,5.4,1
362.0,3.990427757487217,5.4,1
363.0,3.990374799123448,5.4,1
364.0,3.9903216946676405,5.4,1
365.0,3.9902684441197955,5.4,1
366.0,3.9902150474799125,5.4,1
367.0,3.990161504747991,5.4,1
368.0,3.990107815924032,5.4,1
369.0,3.990053981008035,5.4,1
370.0,3.99,5.4,1
371.0,3.989945872899927,5.4,1
372.0,3.989891599707816,5.4,1
373.0,3.9898371804236668,5.4,1
374.0,3.98978261504748,5.4,1
375.0,3.9897279035792548,5.4,1
376.0,3.989673046018992,5.4,1
377.0,3.989618042366691,5.4,1
378.0,3.989562892622352,5.4,1
379.0,3.989507596785975,5.4,1
380.0,3.98945215485756,5.4,1
381.0,3.989396566837107,5.4,1
382.0,3.9893408327246167,5.4,1
383.0,3.9892849525200877,5.4,1
384.0,3.9892289262235208,5.4,1
385.0,3.989172753834916,5.4,1
386.0,3.989116435354273,5.4,1
387.0,3.9890599707815926,5.4,1
388.0,3.9890033601168735,5.4,1
389.0,3.988946603360117,5.4,1
390.0,3.988889700511322,5.4,1
391.0,3.9888326515704895,5.4,1
392.0,3.988775456537619,5.4,1
393.0,3.98871811541271,5.4,1
394.0,3.9886606281957633,5.4,1
395.0,3.9886029948867785,5.4,1
396.0,3.988545215485756,5.4,1
397.0,3.9884872899926953,5.4,1
398.0,3.988429218407597,5.4,1
399.0,3.98837100073046,5.4,1
400.0,3.9883126369612856,5.4,1
401.0,3.988254127100073,5.4,1
402.0,3.9881954711468226,5.4,1
403.0,3.988136669101534,5.4,1
404.0,3.9880777209642075,5.4,1
405.0,3.988018626734843,5.4,1
406.0,3.9879593864134404,5.4,1
407.0,3.9879,5.4,1
408.0,3.9878404674945216,5.4,1
409.0,3.987780788897005,5.4,1
410.0,3.9877209642074507,5.4,1
411.0,3.9876609934258584,5.4,1
412.0,3.9876008765522277,5.4,1
413.0,3.9875406135865594,5.4,1
414.0,3.987480204528853,5.4,1
415.0,3.9874196493791088,5.4,1
416.0,3.9873589481373264,5.4,1
417.0,3.987298100803506,5.4,1
418.0,3.987237107377648,5.4,1
419.0,3.9871759678597516,5.4,1
420.0,3.9871146822498176,5.4,1
421.0,3.987053250547845,5.4,1
422.0,3.986991672753835,5.4,1
423.0,3.9869299488677865,5.4,1
424.0,3.9868680788897004,5.4,1
425.0,3.9868060628195763,5.4,1
426.0,3.986743900657414,5.4,1
427.0,3.986681592403214,5.4,1
428.0,3.9866191380569758,5.4,1
429.0,3.9865565376187,5.4,1
430.0,3.9864937910883858,5.4,1
431.0,3.9864308984660335,5.4,1
432.0,3.9863678597516436,5.4,1
433.0,3.9863046749452153,5.4,1
434.0,3.9862413440467495,5.4,1
435.0,3.9861778670562455,5.4,1
436.0,3.9861142439737036,5.4,1
437.0,3.9860504747991237,5.4,1
438.0,3.9859865595325057,5.4,1
439.0,3.9859224981738497,5.4,1
440.0,3.9858582907231557,5.4,1
441.0,3.9857939371804236,5.4,1
442.0,3.9857294375456536,5.4,1
443.0,3.985664791818846,5.4,1
444.0,3.9856,5.4,1
445.0,3.985535062089116,5.4,1
446.0,3.9854699780861944,5.4,1
447.0,3.9854047479912347,5.4,1
448.0,3.9853393718042365,5.4,1
449.0,3.9852738495252007,5.4,1
450.0,3.985208181154127,5.4,1
451.0,3.9851423666910155,5.4,1
452.0,3.9850764061358657,5.4,1
453.0,3.985010299488678,5.4,1
454.0,3.9849440467494524,5.4,1
455.0,3.9848776479181884,5.4,1
456.0,3.984811102994887,5.4,1
457.0,3.984744411979547,5.4,1
458.0,3.9846775748721694,5.4,1
459.0,3.984610591672754,5.4,1
460.0,3.9845434623813003,5.4,1
461.0,3.9844761869978087,5.4,1
462.0,3.984408765522279,5.4,1
463.0,3.9843411979547114,5.4,1
464.0,3.9842734842951057,5.4,1
465.0,3.9842056245434625,5.4,1
466.0,3.984137618699781,5.4,1
467.0,3.9840694667640615,5.4,1
468.0,3.9840011687363037,5.4,1
469.0,3.9839327246165084,5.4,1
470.0,3.983864134404675,5.4,1
471.0,3.9837953981008036,5.4,1
472.0,3.9837265157048942,5.4,1
473.0,3.983657487216947,5.4,1
474.0,3.9835883126369613,5.4,1
475.0,3.983518991964938,5.4,1
476.0,3.9834495252008764,5.4,1
477.0,3.9833799123447773,5.4,1
478.0,3.9833101533966397,5.4,1
479.0,3.9832402483564646,5.4,1
480.0,3.9831701972242515,5.4,1
481.0,3.9831,5.4,1
482.0,3.9830296566837107,5.4,1
483.0,3.9829591672753835,5.4,1
484.0,3.9828885317750182,5.4,1
485.0,3.982817750182615,5.4,1
486.0,3.9827468224981737,5.4,1
487.0,3.982675748721695,5.4,1
488.0,3.9826045288531775,5.4,1
489.0,3.982533162892622,5.4,1
490.0,3.9824616508400292,5.4,1
491.0,3.9823899926953983,5.4,1
492.0,3.982318188458729,5.4,1
493.0,3.982246238130022,5.4,1
494.0,3.982174141709277,5.4,1
495.0,3.982101899196494,5.4,1
496.0,3.9820295105916728,5.4,1
497.0,3.9819569758948137,5.4,1
498.0,3.9818842951059166,5.4,1
499.0,3.981811468224982,5.4,1
500.0,3.9817384952520087,5.4,1
501.0,3.981665376186998,5.4,1
502.0,3.981592111029949,5.4,1
503.0,3.981518699780862,5.4,1
504.0,3.9814451424397372,5.4,1
505.0,3.981371439006574,5.4,1
506.0,3.981297589481373,5.4,1
507.0,3.9812235938641343,5.4,1
508.0,3.9811494521548574,5.4,1
509.0,3.981075164353543,5.4,1
510.0,3.98100073046019,5.4,1
511.0,3.980926150474799,5.4,1
512.0,3.9808514243973705,5.4,1
513.0,3.9807765522279035,5.4,1
514.0,3.980701533966399,5.4,1
515.0,3.9806263696128563,5.4,1
516.0,3.9805510591672753,5.4,1
517.0,3.9804756026296566,5.4,1
518.0,3.9804,5.4,1
519.0,3.9803242512783052,5.4,1
520.0,3.9802483564645725,5.4,1
521.0,3.9801723155588022,5.4,1
522.0,3.9800961285609935,5.4,1
523.0,3.9800197954711467,5.4,1
524.0,3.9799433162892623,5.4,1
525.0,3.9798666910153395,5.4,1
526.0,3.979789919649379,5.4,1
527.0,3.9797130021913807,5.4,1
528.0,3.9796359386413442,5.4,1
529.0,3.9795587289992693,5.4,1
530.0,3.979481373265157,5.4,1
531.0,3.9794038714390068,5.4,1
532.0,3.979326223520818,5.4,1
533.0,3.9792484295105917,5.4,1
534.0,3.979170489408327,5.4,1
535.0,3.979092403214025,5.4,1
536.0,3.9790141709276843,5.4,1
537.0,3.978935792549306,5.4,1
538.0,3.97885726807889,5.4,1
539.0,3.978778597516435,5.4,1
540.0,3.978699780861943,5.4,1
541.0,3.9786208181154126,5.4,1
542.0,3.9785417092768443,5.4,1
543.0,3.9784624543462384,5.4,1
544.0,3.978383053323594,5.4,1
545.0,3.9783035062089116,5.4,1
546.0,3.978223813002191,5.4,1
547.0,3.978143973703433,5.4,1
548.0,3.9780639883126367,5.4,1
549.0,3.9779838568298027,5.4,1
550.0,3.9779035792549307,5.4,1
551.0,3.9778231555880206,5.4,1
552.0,3.9777425858290725,5.4,1
553.0,3.9776618699780864,5.4,1
554.0,3.977581008035062,5.4,1
